Name,B,F,Var,HD,HIP,RA,Dec,vis.mag.,abs.mag.,Dist. (ly),Sp. class,Notes,,ORDER tracé edges,RA2 h str,RA2 h nb,RA2 mn str,RA2 mn nb,RA2 sec str,RA2 sec nb,Dec2 h str,Dec2 h nb,Dec2 mn str,Dec2 mn nb,Dec2 sec str,Dec2 sec nb,RA2 h.,Dec2 deg.
24 UMa,d,24,DK,82210,46977,09h 34m 28.97s,+69° 49′ 48.6″,4.54,1.99,106,G4III-IV,DK UMa; RS CVn variable,,,09,9, 34,34, 28.97,28.97,+69,69, 49,49, 48.6,48.6,9.57471388888889,69.8301666666667
φ UMa,φ,30,,85235,48402,09h 52m 06.36s,+54° 03′ 51.4″,4.6,−1.08,436,A3IV,,,,09,9, 52,52, 06.36,6.36,+54,54, 03,3, 51.4,51.4,9.86843333333333,54.0642777777778
ω UMa,ω,45,,94334,53295,10h 53m 58.71s,+43° 11′ 24.1″,4.61,0.1,267,A1Vs,,,,10,10, 53,53, 58.71,58.71,+43,43, 11,11, 24.1,24.1,10.8996416666667,43.1900277777778
π2 UMa,π2,4,,73108,42527,08h 40m 12.90s,+64° 19′ 40.3″,4.62,0.15,252,K2III,"Muscida, has a planet (b)",,,08,8, 40,40, 12.90,12.9,+64,64, 19,19, 40.3,40.3,8.67025,64.3278611111111
τ UMa,τ,14,,78362,45075,09h 10m 54.93s,+63° 30′ 49.6″,4.66,1.81,122,Am,,,,09,9, 10,10, 54.93,54.93,+63,63, 30,30, 49.6,49.6,9.181925,63.5137777777778
83 UMa,,83,IQ,119228,66738,13h 40m 44.29s,+54° 40′ 54.0″,4.69,−1.50,549,M2IIIvar,IQ UMa,,,13,13, 40,40, 44.29,44.29,+54,54, 40,40, 54.0,54,13.6789694444444,54.6816666666667
HD 91312,,,,91312,51658,10h 33m 14.00s,+40° 25′ 31.9″,4.72,2.04,112,A7IV,,,,10,10, 33,33, 14.00,14,+40,40, 25,25, 31.9,31.9,10.5538888888889,40.4255277777778
ξ UMa B,ξ,53,,98231,,11h 18m 11.00s,+31° 31′ 45.0″,4.73,,,,component of the ξ UMa system,,,11,11, 18,18, 11.00,11,+31,31, 31,31, 45.0,45,11.3030555555556,31.5291666666667
ρ UMa,ρ,8,,76827,44390,09h 02m 32.73s,+67° 37′ 46.5″,4.74,0.01,287,M3III,,,,09,9, 02,2, 32.73,32.73,+67,67, 37,37, 46.5,46.5,9.042425,67.6295833333333
55 UMa,,55,,98353,55266,11h 19m 07.94s,+38° 11′ 08.6″,4.8,1.01,183,A2V,,,,11,11, 19,19, 07.94,7.94,+38,38, 11,11, 08.6,8.6,11.3188722222222,38.1857222222222
σ2 UMa,σ2,13,,78154,45038,09h 10m 23.53s,+67° 08′ 03.3″,4.8,3.25,67,F7IV-V,,,,09,9, 10,10, 23.53,23.53,+67,67, 08,8, 03.3,3.3,9.17320277777778,67.13425
36 UMa,,36,,90839,51459,10h 30m 37.76s,+55° 58′ 50.2″,4.82,4.28,42,F8V,,,,10,10, 30,30, 37.76,37.76,+55,55, 58,58, 50.2,50.2,10.5104888888889,55.9806111111111
18 UMa,e,18,DD,79439,45493,09h 16m 11.28s,+54° 01′ 18.2″,4.83,2,118,A5V,DD UMa; δ Sct variable,,,09,9, 16,16, 11.28,11.28,+54,54, 01,1, 18.2,18.2,9.2698,54.0217222222222
78 UMa,,78,,113139,63503,13h 00m 43.59s,+56° 21′ 58.8″,4.93,2.94,81,F2V,,,,13,13, 00,0, 43.59,43.59,+56,56, 21,21, 58.8,58.8,13.0121083333333,56.3663333333333
