Name,B,F,Var,HD,HIP,RA,Dec,vis.mag.,abs.mag.,Dist. (ly),Sp. class,Notes,,ORDER tracé edges,RA2 h str,RA2 h nb,RA2 mn str,RA2 mn nb,RA2 sec str,RA2 sec nb,Dec2 h str,Dec2 h nb,Dec2 mn str,Dec2 mn nb,Dec2 sec str,Dec2 sec nb,RA2 h.,Dec2 deg.
,,,,78935,45461,09h 15m 52.75s,+72° 56′ 47.3″,5.93,1.18,291,F0III,,,,09,9, 15,15, 52.75,52.75,+72,72, 56,56, 47.3,47.3,9.26465277777778,72.9464722222222
58 UMa,,58,,99984,56148,11h 30m 31.17s,+43° 10′ 23.0″,5.94,2.19,183,F4V,,,,11,11, 30,30, 31.17,31.17,+43,43, 10,10, 23.0,23,11.5086583333333,43.1730555555556
VY UMa,,,VY,92839,52577,10h 45m 04.02s,+67° 24′ 41.0″,5.95,−1.75,1132,C5II,,,,10,10, 45,45, 04.02,4.02,+67,67, 24,24, 41.0,41,10.7511166666667,67.4113888888889
,,,,104075,58460,11h 59m 17.54s,+33° 10′ 01.3″,5.95,−0.62,671,K1III,,,,11,11, 59,59, 17.54,17.54,+33,33, 10,10, 01.3,1.3,11.9882055555556,33.1670277777778
,,,,79763,45590,09h 17m 31.17s,+46° 49′ 01.9″,5.96,0.7,367,A1V,,,,09,9, 17,17, 31.17,31.17,+46,46, 49,49, 01.9,1.9,9.29199166666667,46.8171944444444
,,,,83126,47401,09h 39m 27.92s,+67° 16′ 20.4″,5.96,−0.15,543,K5,,,,09,9, 39,39, 27.92,27.92,+67,67, 16,16, 20.4,20.4,9.65775555555556,67.2723333333333
,,,,85945,48802,09h 57m 13.57s,+57° 25′ 06.1″,5.97,0.19,466,G8III,,,,09,9, 57,57, 13.57,13.57,+57,57, 25,25, 06.1,6.1,9.95376944444444,57.4183611111111
,,,,120787,67485,13h 49m 45.43s,+61° 29′ 22.4″,5.97,0.55,395,G3V,,,,13,13, 49,49, 45.43,45.43,+61,61, 29,29, 22.4,22.4,13.8292861111111,61.4895555555556
,,,,95129,53726,10h 59m 32.74s,+36° 05′ 35.6″,5.99,−1.19,888,M2III,,,,10,10, 59,59, 32.74,32.74,+36,36, 05,5, 35.6,35.6,10.9924277777778,36.0932222222222
,,,,68951,40889,08h 20m 40.32s,+72° 24′ 26.3″,6,−1.32,948,M0III,,,,08,8, 20,20, 40.32,40.32,+72,72, 24,24, 26.3,26.3,8.34453333333333,72.4073055555556
,,,,89319,50546,10h 19m 26.88s,+48° 23′ 49.3″,6,2.82,141,K0,,,,10,10, 19,19, 26.88,26.88,+48,48, 23,23, 49.3,49.3,10.3241333333333,48.3970277777778
,,,,90470,51200,10h 27m 28.08s,+41° 36′ 04.4″,6,1.89,216,A2V,,,,10,10, 27,27, 28.08,28.08,+41,41, 36,36, 04.4,4.4,10.4578,41.6012222222222
,,,,89414,50635,10h 20m 31.18s,+54° 13′ 00.7″,6.01,0.28,457,K3III:,,,,10,10, 20,20, 31.18,31.18,+54,54, 13,13, 00.7,0.7,10.3419944444444,54.2168611111111
51 UMa,,51,,95934,54136,11h 04m 31.28s,+38° 14′ 28.9″,6.01,1.48,263,A3III-IV,,,,11,11, 04,4, 31.28,31.28,+38,38, 14,14, 28.9,28.9,11.0753555555556,38.2413611111111
,,,,98772,55564,11h 22m 51.25s,+64° 19′ 49.5″,6.02,1.34,282,A3V,,,,11,11, 22,22, 51.25,51.25,+64,64, 19,19, 49.5,49.5,11.3809027777778,64.3304166666667
76 UMa,,76,,110462,61936,12h 41m 33.95s,+62° 42′ 47.1″,6.02,−0.24,581,A2III,,,,12,12, 41,41, 33.95,33.95,+62,62, 42,42, 47.1,47.1,12.6927638888889,62.7130833333333
,,,,119765,67005,13h 43m 54.80s,+52° 03′ 51.9″,6.02,0.9,345,A1V,,,,13,13, 43,43, 54.80,54.8,+52,52, 03,3, 51.9,51.9,13.7318888888889,52.0644166666667
,,,,94669,53465,10h 56m 14.51s,+42° 00′ 30.2″,6.03,1.13,312,K2III,,,,10,10, 56,56, 14.51,14.51,+42,42, 00,0, 30.2,30.2,10.9373638888889,42.0083888888889
,,,,95241,53791,11h 00m 20.76s,+42° 54′ 43.3″,6.03,2.74,148,F9V,,,,11,11, 00,0, 20.76,20.76,+42,42, 54,54, 43.3,43.3,11.0057666666667,42.9120277777778
,,,,90745,51448,10h 30m 26.65s,+64° 15′ 28.1″,6.07,1.33,289,A7III,,,,10,10, 30,30, 26.65,26.65,+64,64, 15,15, 28.1,28.1,10.5074027777778,64.2578055555556
EP UMa,,,EP,96707,54540,11h 09m 39.92s,+67° 12′ 37.0″,6.07,0.88,355,F0sp...,α² CVn variable,,,11,11, 09,9, 39.92,39.92,+67,67, 12,12, 37.0,37,11.1610888888889,67.2102777777778
75 UMa,,75,,108861,60992,12h 30m 04.22s,+58° 46′ 04.1″,6.07,0.48,428,G8III-IV,,,,12,12, 30,30, 04.22,4.22,+58,58, 46,46, 04.1,4.1,12.5011722222222,58.7678055555556
60 UMa,,60,,101133,56789,11h 38m 33.54s,+46° 50′ 03.4″,6.09,0.93,351,F5IIIs,,,,11,11, 38,38, 33.54,33.54,+46,46, 50,50, 03.4,3.4,11.64265,46.8342777777778
37 Lyn,,-37,,80290,45836,09h 20m 43.79s,+51° 15′ 56.6″,6.14,3.83,95,F3V,,,,09,9, 20,20, 43.79,43.79,+51,51, 15,15, 56.6,56.6,9.34549722222222,51.2657222222222
,,,,101013,56731,11h 37m 53.05s,+50° 37′ 05.8″,6.14,0.39,461,K0p...,Barium star,,,11,11, 37,37, 53.05,53.05,+50,50, 37,37, 05.8,5.8,11.6314027777778,50.6182777777778
,,,,105043,58989,12h 05m 39.76s,+62° 55′ 59.9″,6.14,0.85,373,K2III,,,,12,12, 05,5, 39.76,39.76,+62,62, 55,55, 59.9,59.9,12.0943777777778,62.9333055555556
,,,,113994,63952,13h 06m 22.86s,+62° 02′ 31.1″,6.15,0.83,377,G7III,,,,13,13, 06,6, 22.86,22.86,+62,62, 02,2, 31.1,31.1,13.10635,62.0419722222222
,,,,122866,68637,14h 02m 59.78s,+50° 58′ 18.6″,6.16,1.25,313,A2V,,,,14,14, 02,2, 59.78,59.78,+50,50, 58,58, 18.6,18.6,14.0499388888889,50.9718333333333
,,,,83962,47791,09h 44m 36.62s,+64° 59′ 02.6″,6.18,1.02,351,F3Vn,,,,09,9, 44,44, 36.62,36.62,+64,64, 59,59, 02.6,2.6,9.74350555555555,64.9840555555556
U UMa,,,U,88651,50222,10h 15m 07.65s,+59° 59′ 07.9″,6.18,−2.46,1743,M0IIIvar,,,,10,10, 15,15, 07.65,7.65,+59,59, 59,59, 07.9,7.9,10.252125,59.9855277777778
1 CVn,,-1,,106478,59708,12h 14m 43.43s,+53° 26′ 04.8″,6.18,0.23,505,K0III:,,,,12,12, 14,14, 43.43,43.43,+53,53, 26,26, 04.8,4.8,12.2453972222222,53.4346666666667
,,,,74604,43266,08h 48m 49.28s,+66° 42′ 29.4″,6.2,0.21,514,B8V,,,,08,8, 48,48, 49.28,49.28,+66,66, 42,42, 29.4,29.4,8.81368888888889,66.7081666666667
,,,,98499,55412,11h 20m 53.71s,+67° 06′ 03.1″,6.2,0.55,439,G8,,,,11,11, 20,20, 53.71,53.71,+67,67, 06,6, 03.1,3.1,11.3482527777778,67.1008611111111
,,,,108954,61053,12h 30m 50.12s,+53° 04′ 34.2″,6.2,4.49,72,F9V,,,,12,12, 30,30, 50.12,50.12,+53,53, 04,4, 34.2,34.2,12.5139222222222,53.0761666666667
,,,,73971,42777,08h 43m 00.19s,+46° 54′ 03.6″,6.21,0.7,412,G8III,,,,08,8, 43,43, 00.19,0.19,+46,46, 54,54, 03.6,3.6,8.71671944444445,46.901
,,,,95057,53706,10h 59m 17.89s,+51° 52′ 56.5″,6.22,−0.38,681,K0,,,,10,10, 59,59, 17.89,17.89,+51,51, 52,52, 56.5,56.5,10.9883027777778,51.8823611111111
,,,,103736,58259,11h 56m 53.27s,+61° 32′ 57.5″,6.22,−0.15,612,G8III,,,,11,11, 56,56, 53.27,53.27,+61,61, 32,32, 57.5,57.5,11.9481305555556,61.5493055555556
EZ UMa,,,EZ,80953,46247,09h 25m 44.19s,+63° 56′ 27.7″,6.24,−0.73,809,K2III,,,,09,9, 25,25, 44.19,44.19,+63,63, 56,56, 27.7,27.7,9.42894166666667,63.9410277777778
,,,,102942,57805,11h 51m 09.51s,+33° 22′ 29.9″,6.25,2.25,205,Am,,,,11,11, 51,51, 09.51,9.51,+33,33, 22,22, 29.9,29.9,11.8526416666667,33.3749722222222
,,,,84812,48266,09h 50m 23.67s,+65° 35′ 35.9″,6.27,1.41,306,A9Vn,,,,09,9, 50,50, 23.67,23.67,+65,65, 35,35, 35.9,35.9,9.83990833333333,65.5933055555556
,,,,101604,57045,11h 41m 43.52s,+55° 10′ 19.2″,6.28,−1.17,1006,K5,,,,11,11, 41,41, 43.52,43.52,+55,55, 10,10, 19.2,19.2,11.6954222222222,55.172
CQ UMa,,,CQ,119213,66700,13h 40m 21.44s,+57° 12′ 27.2″,6.28,1.55,288,A4p SrCrEu,α² CVn variable,,,13,13, 40,40, 21.44,21.44,+57,57, 12,12, 27.2,27.2,13.6726222222222,57.2075555555556
,,,,85583,48638,09h 55m 03.35s,+61° 06′ 58.1″,6.29,0.91,389,K0,,,,09,9, 55,55, 03.35,3.35,+61,61, 06,6, 58.1,58.1,9.91759722222222,61.1161388888889
,,,,99859,56083,11h 29m 43.66s,+56° 44′ 15.6″,6.29,2.13,221,A4m,,,,11,11, 29,29, 43.66,43.66,+56,56, 44,44, 15.6,15.6,11.4954611111111,56.7376666666667
,,,,101151,56784,11h 38m 32.33s,+33° 37′ 33.1″,6.29,−0.16,634,K2III,,,,11,11, 38,38, 32.33,32.33,+33,33, 37,37, 33.1,33.1,11.6423138888889,33.6258611111111
,,,,101177,56809,11h 38m 45.39s,+45° 06′ 30.2″,6.29,4.45,76,G0V,Binary star,,,11,11, 38,38, 45.39,45.39,+45,45, 06,6, 30.2,30.2,11.6459416666667,45.1083888888889
,,,,81025,46168,09h 24m 55.64s,+51° 34′ 26.1″,6.3,0.69,432,G2III,,,,09,9, 24,24, 55.64,55.64,+51,51, 34,34, 26.1,26.1,9.41545555555556,51.5739166666667
EE UMa,,,EE,99967,56135,11h 30m 24.83s,+46° 39′ 26.9″,6.3,−1.10,985,K2IIICN-1,,,,11,11, 30,30, 24.83,24.83,+46,46, 39,39, 26.9,26.9,11.5068972222222,46.6574722222222
,,,,71553,41927,08h 32m 53.27s,+69° 19′ 11.9″,6.31,−0.08,619,K0,,,,08,8, 32,32, 53.27,53.27,+69,69, 19,19, 11.9,11.9,8.54813055555556,69.3199722222222
,,,,87243,49408,10h 05m 10.40s,+52° 22′ 16.7″,6.31,1.28,330,A5IV,,,,10,10, 05,5, 10.40,10.4,+52,52, 22,22, 16.7,16.7,10.0862222222222,52.3713055555556
HD 119124,,,,119124,66704,13h 40m 23.35s,+50° 31′ 09.4″,6.31,4.3,82,F7.7V,,,,13,13, 40,40, 23.35,23.35,+50,50, 31,31, 09.4,9.4,13.6731527777778,50.5192777777778
35 UMa,,35,,90633,51401,10h 29m 54.43s,+65° 37′ 34.7″,6.32,1.41,313,K2III:,,,,10,10, 29,29, 54.43,54.43,+65,65, 37,37, 34.7,34.7,10.4984527777778,65.6263055555556
,,,,97501,54842,11h 13m 40.10s,+41° 05′ 19.7″,6.33,1.29,332,K2III,,,,11,11, 13,13, 40.10,40.1,+41,41, 05,5, 19.7,19.7,11.2278055555556,41.0888055555556
,,,,99373,55821,11h 26m 25.58s,+33° 27′ 02.0″,6.33,2.53,188,F6IV,,,,11,11, 26,26, 25.58,25.58,+33,33, 27,27, 02.0,2,11.4404388888889,33.4505555555556
,,,,73131,42415,08h 38m 59.92s,+52° 55′ 30.5″,6.34,0.08,581,K0,,,,08,8, 38,38, 59.92,59.92,+52,52, 55,55, 30.5,30.5,8.64997777777778,52.9251388888889
,,,,86166,48861,09h 57m 56.84s,+45° 24′ 51.8″,6.34,0.8,418,K0III,,,,09,9, 57,57, 56.84,56.84,+45,45, 24,24, 51.8,51.8,9.96578888888889,45.4143888888889
41 UMa,,41,,93132,52685,10h 46m 22.54s,+57° 21′ 57.8″,6.34,−0.49,756,M1III,,,,10,10, 46,46, 22.54,22.54,+57,57, 21,21, 57.8,57.8,10.7729277777778,57.3660555555556
68 UMa,,68,,106002,59458,12h 11m 44.89s,+57° 03′ 16.0″,6.34,−1.03,970,K5III,,,,12,12, 11,11, 44.89,44.89,+57,57, 03,3, 16.0,16,12.1958027777778,57.0544444444444
,,,,117242,65678,13h 27m 59.73s,+52° 44′ 44.3″,6.34,1.35,325,F0,,,,13,13, 27,27, 59.73,59.73,+52,52, 44,44, 44.3,44.3,13.4665916666667,52.7456388888889
,,,,75487,43624,08h 53m 05.93s,+59° 03′ 22.1″,6.35,2.4,201,F5IV-V,,,,08,8, 53,53, 05.93,5.93,+59,59, 03,3, 22.1,22.1,8.88498055555556,59.0561388888889
,,,,101391,56944,11h 40m 27.44s,+57° 58′ 13.3″,6.35,0.31,526,B9p...,,,,11,11, 40,40, 27.44,27.44,+57,57, 58,58, 13.3,13.3,11.6742888888889,57.9703611111111
,,,,83869,47633,09h 42m 43.12s,+48° 25′ 51.8″,6.36,0.73,435,A1V,,,,09,9, 42,42, 43.12,43.12,+48,48, 25,25, 51.8,51.8,9.71197777777778,48.4310555555556
,,,,90602,51290,10h 28m 36.54s,+45° 12′ 44.1″,6.37,−0.48,763,K0,,,,10,10, 28,28, 36.54,36.54,+45,45, 12,12, 44.1,44.1,10.4768166666667,45.21225
,,,,95256,53860,11h 01m 05.73s,+63° 25′ 16.4″,6.38,1.68,284,A2m,,,,11,11, 01,1, 05.73,5.73,+63,63, 25,25, 16.4,16.4,11.0182583333333,63.4212222222222
,,,,100470,56410,11h 33m 56.38s,+36° 48′ 56.7″,6.38,0.81,424,K0III,,,,11,11, 33,33, 56.38,56.38,+36,36, 48,48, 56.7,56.7,11.5656611111111,36.81575
,,,,110678,62046,12h 43m 04.19s,+61° 09′ 19.3″,6.39,0.56,477,K0,,,,12,12, 43,43, 04.19,4.19,+61,61, 09,9, 19.3,19.3,12.7178305555556,61.1553611111111
,,,,80461,45888,09h 21m 23.61s,+45° 22′ 12.5″,6.4,−0.30,713,K0,,,,09,9, 21,21, 23.61,23.61,+45,45, 22,22, 12.5,12.5,9.35655833333333,45.3701388888889
,,,,93427,52877,10h 48m 49.86s,+65° 07′ 56.9″,6.4,0.85,420,A1V,,,,10,10, 48,48, 49.86,49.86,+65,65, 07,7, 56.9,56.9,10.81385,65.1324722222222
,,,,97138,54721,11h 12m 10.90s,+68° 16′ 18.7″,6.4,1.58,300,A3V,,,,11,11, 12,12, 10.90,10.9,+68,68, 16,16, 18.7,18.7,11.2030277777778,68.2718611111111
,,,,100030,56170,11h 30m 53.14s,+47° 55′ 44.8″,6.4,1.38,328,G9IV,,,,11,11, 30,30, 53.14,53.14,+47,47, 55,55, 44.8,44.8,11.5147611111111,47.9291111111111
,,,,82969,47231,09h 37m 37.52s,+60° 12′ 49.5″,6.41,1.45,321,G5,,,,09,9, 37,37, 37.52,37.52,+60,60, 12,12, 49.5,49.5,9.62708888888889,60.21375
,,,,95233,53798,11h 00m 25.58s,+51° 30′ 07.7″,6.41,0.2,568,G9III,,,,11,11, 00,0, 25.58,25.58,+51,51, 30,30, 07.7,7.7,11.0071055555556,51.5021388888889
,,,,97334,54745,11h 12m 32.53s,+35° 48′ 52.0″,6.41,4.73,71,G0V,,,,11,11, 12,12, 32.53,32.53,+35,35, 48,48, 52.0,52,11.2090361111111,35.8144444444444
,,,,69976,41060,08h 22m 44.06s,+60° 37′ 52.5″,6.42,0.75,444,K0III,,,,08,8, 22,22, 44.06,44.06,+60,60, 37,37, 52.5,52.5,8.37890555555556,60.63125
,,,,89268,50509,10h 18m 58.77s,+46° 45′ 39.1″,6.42,−0.61,830,K1III,,,,10,10, 18,18, 58.77,58.77,+46,46, 45,45, 39.1,39.1,10.316325,46.7608611111111
,,,,90508,51248,10h 28m 03.81s,+48° 47′ 13.4″,6.42,4.56,77,G1V,,,,10,10, 28,28, 03.81,3.81,+48,48, 47,47, 13.4,13.4,10.467725,48.7870555555556
,,,,93551,52929,10h 49m 28.82s,+63° 48′ 36.0″,6.42,−0.69,862,K0,,,,10,10, 49,49, 28.82,28.82,+63,63, 48,48, 36.0,36,10.8246722222222,63.81
Groombridge 1830,,,,103095,57939,11h 52m 55.82s,+37° 43′ 58.1″,6.42,6.61,30,G8VIp,Argelander's Star,,,11,11, 52,52, 55.82,55.82,+37,37, 43,43, 58.1,58.1,11.8821722222222,37.7328055555556
,,,,103928,58369,11h 58m 07.25s,+32° 16′ 26.6″,6.42,3.04,155,A9V,,,,11,11, 58,58, 07.25,7.25,+32,32, 16,16, 26.6,26.6,11.9686805555556,32.2740555555556
56 Cam,,-56,,68457,40474,08h 15m 50.52s,+60° 22′ 50.1″,6.43,0.5,499,A7Vm,,,,08,8, 15,15, 50.52,50.52,+60,60, 22,22, 50.1,50.1,8.26403333333333,60.3805833333333
,,,,98673,55485,11h 21m 49.35s,+57° 04′ 29.4″,6.43,1.96,255,A7Vn,,,,11,11, 21,21, 49.35,49.35,+57,57, 04,4, 29.4,29.4,11.3637083333333,57.0748333333333
,,,,77692,44717,09h 06m 43.16s,+59° 20′ 40.4″,6.44,−1.26,1132,A2V,,,,09,9, 06,6, 43.16,43.16,+59,59, 20,20, 40.4,40.4,9.11198888888889,59.3445555555556
,,,,94084,53157,10h 52m 32.11s,+52° 30′ 13.4″,6.44,1.51,315,K2III,,,,10,10, 52,52, 32.11,32.11,+52,52, 30,30, 13.4,13.4,10.8755861111111,52.5037222222222
,,,,95572,54038,11h 03m 27.37s,+70° 01′ 51.0″,6.44,−0.32,734,K0,,,,11,11, 03,3, 27.37,27.37,+70,70, 01,1, 51.0,51,11.0576027777778,70.0308333333333
,,,,89389,50606,10h 20m 14.88s,+53° 46′ 45.4″,6.45,4.02,100,F9V,,,,10,10, 20,20, 14.88,14.88,+53,53, 46,46, 45.4,45.4,10.3374666666667,53.7792777777778
,,,,120874,67548,13h 50m 27.77s,+58° 32′ 21.9″,6.45,1.87,269,A3V,,,,13,13, 50,50, 27.77,27.77,+58,58, 32,32, 21.9,21.9,13.8410472222222,58.5394166666667
,,,,73029,42434,08h 39m 10.10s,+59° 56′ 21.3″,6.47,1.25,360,A2Vn,,,,08,8, 39,39, 10.10,10.1,+59,59, 56,56, 21.3,21.3,8.65280555555556,59.93925
,,,,103500,58119,11h 55m 14.10s,+36° 45′ 23.4″,6.47,0.19,588,M3III,,,,11,11, 55,55, 14.10,14.1,+36,36, 45,45, 23.4,23.4,11.9205833333333,36.7565
,,,,119992,67103,13h 45m 13.10s,+55° 52′ 48.8″,6.47,3.84,110,F7IV-V,,,,13,13, 45,45, 13.10,13.1,+55,55, 52,52, 48.8,48.8,13.7536388888889,55.8802222222222
,,,,123977,69107,14h 08m 46.19s,+59° 20′ 15.7″,6.47,0.83,438,K0III,,,,14,14, 08,8, 46.19,46.19,+59,59, 20,20, 15.7,15.7,14.1461638888889,59.3376944444444
,,,,89221,50485,10h 18m 32.91s,+43° 02′ 55.1″,6.48,3.72,116,G5,,,,10,10, 18,18, 32.91,32.91,+43,43, 02,2, 55.1,55.1,10.3091416666667,43.0486388888889
,,,,118536,66385,13h 36m 39.89s,+49° 29′ 12.1″,6.48,0.55,500,K1III,,,,13,13, 36,36, 39.89,39.89,+49,49, 29,29, 12.1,12.1,13.6110805555556,49.4866944444444
,,,,82408,46879,09h 33m 11.26s,+45° 30′ 49.9″,6.49,0.22,584,K0,,,,09,9, 33,33, 11.26,11.26,+45,45, 30,30, 49.9,49.9,9.55312777777778,45.5138611111111
,,,,101150,56816,11h 38m 49.12s,+64° 20′ 49.1″,6.49,0.02,640,A5IV,,,,11,11, 38,38, 49.12,49.12,+64,64, 20,20, 49.1,49.1,11.6469777777778,64.3469722222222
,,,,104179,58512,11h 59m 57.41s,+34° 02′ 04.8″,6.49,1.19,374,A9III,,,,11,11, 59,59, 57.41,57.41,+34,34, 02,2, 04.8,4.8,11.9992805555556,34.0346666666667
,,,,118970,66613,13h 39m 14.92s,+51° 48′ 15.1″,6.49,−1.82,1495,K2,,,,13,13, 39,39, 14.92,14.92,+51,51, 48,48, 15.1,15.1,13.6541444444444,51.8041944444444
HR 5256,,,,122064,68184,13h 57m 32.10s,+61° 29′ 32.4″,6.49,6.47,33,K3V,,,,13,13, 57,57, 32.10,32.1,+61,61, 29,29, 32.4,32.4,13.9589166666667,61.4923333333333
,,,,81790,46566,09h 29m 47.87s,+55° 44′ 43.2″,6.5,3.27,145,F3Vs,,,,09,9, 29,29, 47.87,47.87,+55,55, 44,44, 43.2,43.2,9.49663055555556,55.7453333333333
,,,,83564,47521,09h 41m 16.76s,+55° 51′ 59.7″,6.5,0.99,412,K1III-IV,,,,09,9, 41,41, 16.76,16.76,+55,55, 51,51, 59.7,59.7,9.68798888888889,55.8665833333333
,,,,83886,47664,09h 43m 07.00s,+54° 21′ 49.6″,6.5,1.69,299,A5m,,,,09,9, 43,43, 07.00,7,+54,54, 21,21, 49.6,49.6,9.71861111111111,54.3637777777778
,,,,113436,63647,13h 02m 40.46s,+59° 42′ 58.8″,6.5,0.12,615,A3Vn,,,,13,13, 02,2, 40.46,40.46,+59,59, 42,42, 58.8,58.8,13.0445722222222,59.7163333333333
,,,,117043,65530,13h 26m 00.37s,+63° 15′ 38.7″,6.5,4.85,70,G6V,,,,13,13, 26,26, 00.37,0.37,+63,63, 15,15, 38.7,38.7,13.4334361111111,63.26075
28 UMa,,28,,84179,47911,09h 45m 55.38s,+63° 39′ 12.3″,6.51,2.07,252,F2V,,,,09,9, 45,45, 55.38,55.38,+63,63, 39,39, 12.3,12.3,9.76538333333333,63.6534166666667
65 UMa,,65,,103483,58112,11h 55m 05.74s,+46° 28′ 36.6″,6.54,−0.41,801,A3Vn,,,,11,11, 55,55, 05.74,5.74,+46,46, 28,28, 36.6,36.6,11.9182611111111,46.4768333333333
25 LMi,,-25,,89572,50687,10h 21m 03.67s,+41° 50′ 57.8″,6.78,0.17,685,A0,,,,10,10, 21,21, 03.67,3.67,+41,41, 50,50, 57.8,57.8,10.3510194444444,41.8493888888889
14 LMi,,-14,,84453,47973,09h 46m 42.44s,+45° 06′ 53.0″,6.81,2.22,270,K0IV,,,,09,9, 46,46, 42.44,42.44,+45,45, 06,6, 53.0,53,9.77845555555556,45.1147222222222
39 Lyn,,-39,,80608,45974,09h 22m 32.20s,+49° 32′ 41.4″,6.9,0.1,738,B9,,,,09,9, 22,22, 32.20,32.2,+49,49, 32,32, 41.4,41.4,9.37561111111111,49.5448333333333
HD 84406,,,,84406,48034,09h 47m 30.55s,+63° 14′ 52.1″,6.94,2.55,258.5,G8IV,,,,09,9, 47,47, 30.55,30.55,+63,63, 14,14, 52.1,52.1,9.79181944444444,63.2478055555556
65 UMa,,65,,103498,58117,11h 55m 11.32s,+46° 28′ 11.2″,7.03,−0.46,1025,A1spe...,,,,11,11, 55,55, 11.32,11.32,+46,46, 28,28, 11.2,11.2,11.9198111111111,46.4697777777778
72 UMa,,72,,108346,60712,12h 26m 32.60s,+55° 09′ 33.9″,7.03,1.22,472,Am,,,,12,12, 26,26, 32.60,32.6,+55,55, 09,9, 33.9,33.9,12.4423888888889,55.1594166666667
40 UMa,,40,,93075,52650,10h 45m 59.86s,+56° 55′ 14.9″,7.11,1.88,363,A8V,,,,10,10, 45,45, 59.86,59.86,+56,56, 55,55, 14.9,14.9,10.7666277777778,56.9208055555556
HD 96127,,,,96127,54232,11h 05m 46s,+44° 18′ 06″,7.43,-1.23,1761,K2III,has a planet (b),,,11,11, 05,5, 46,46,+44,44, 18,18, 06,6,11.0961111111111,44.3016666666667
Lalande 21185,,,,95735,54035,11h 03m 20.19s,+35° 58′ 11.5″,7.49,10.46,8.29,M2V,Argelander's Second Star; 4th closest star system; planets suspected,,,11,11, 03,3, 20.19,20.19,+35,35, 58,58, 11.5,11.5,11.0556083333333,35.9698611111111
HD 116798,,,,116798,,13h 24m 52s,+54° 53′ 51″,7.59,2.18,299[3],A5,Sidus Ludoviciana,,,13,13, 24,24, 52,52,+54,54, 53,53, 51,51,13.4144444444444,54.8975
HD 79211,,,,79211,,09h 14m 22.79157s,52° 41′ 11.7206″,7.64,,20.09,M0.0,a binary system with a super-Earth planet detected by radial velocity,,,09,9, 14,14, 22.79157,22.79157,52,52, 41,41, 11.7206,11.7206,9.239664325,52.6865890555556
HD 99706,,,,99706,55994,11h 28m 30s,+43° 58′ 00 ″,7.81,2.26,421,K0,has a planet (b),,,11,11, 28,28, 30,30,+43,43, 58,58, 00 ,0,11.475,43.9666666666667
W UMa,,,W,83950,47727,09h 43m 45.47s,+55° 57′ 09.1″,7.96,4.48,162,F8Vp+...,prototype of W UMa variables,,,09,9, 43,43, 45.47,45.47,+55,55, 57,57, 09.1,9.1,9.72929722222222,55.9525277777778
HD 102956,,,,102956,57820,11h 51m 23s,+57° 38′ 27″,8,2.5,411,A,Aniara; has a planet (b),,,11,11, 51,51, 23,23,+57,57, 38,38, 27,27,11.8563888888889,57.6408333333333
HD 118203,,,,118203,66192,13h 34m 02.54s,+53° 43′ 42.7″,8.07,3.33,289,K0,Liesma; has a planet (b),,,13,13, 34,34, 02.54,2.54,+53,53, 43,43, 42.7,42.7,13.5673722222222,53.7285277777778
T UMa,,,T,109729,61532,12h 36m 23.47s,+59° 29′ 13.0″,8.11,−3.19,5930,M4IIIe,Mira-type variable star,,,12,12, 36,36, 23.47,23.47,+59,59, 29,29, 13.0,13,12.6065194444444,59.4869444444445
HD 95127,,,,95127,53733,10h 59m 35.0s,+43° 48′ 52″,8.15,0.77,978,K0,has a planet (b),,,10,10, 59,59, 35.0,35,+43,43, 48,48, 52,52,10.9930555555556,43.8144444444444
HD 68988,,,,68988,40687,08h 18m 22.17s,+61° 27′ 38.6″,8.21,4.36,192,G0,has two planets (b & c),,,08,8, 18,18, 22.17,22.17,+61,61, 27,27, 38.6,38.6,8.30615833333333,61.4607222222222
R UMa,,,R,92763,52546,10h 44m 38.47s,+68° 46′ 32.7″,8.41,0.95,1013,M4e,Mira-type variable star,,,10,10, 44,44, 38.47,38.47,+68,68, 46,46, 32.7,32.7,10.7440194444444,68.77575
HD 80606,,,,80606,45982,09h 22m 37.57s,+50° 36′ 13.4″,8.93,5.1,190,G5,has a transiting planet (b),,,09,9, 22,22, 37.57,37.57,+50,50, 36,36, 13.4,13.4,9.37710277777778,50.6037222222222
HIP 57274,,,,,57274,11h 44m 41s,+30° 57′ 33 ″,8.96,6.88,85,K5V,"have three planets (b, c and d)",,,11,11, 44,44, 41,41,+30,30, 57,57, 33 ,33,11.7447222222222,30.9591666666667
Winnecke 4,,,,,,12h 22m 12.5s,+58° 04′ 59″,9,3,510,,Messier 40; optical double star,,,12,12, 22,22, 12.5,12.5,+58,58, 04,4, 59,59,12.3701388888889,58.0830555555556
SZ UMa,,,SZ,,55360,11h 20m 04.83s,+65° 50′ 47.4″,9.32,9.52,30,M0,variable star,,,11,11, 20,20, 04.83,4.83,+65,65, 50,50, 47.4,47.4,11.334675,65.8465
HAT-P-22,,,,233731,,10h 22m 44s,+50° 07′ 42″,9.73,,267,G5,has a transiting planet (b),,,10,10, 22,22, 44,44,+50,50, 07,7, 42,42,10.3788888888889,50.1283333333333
HD 233604,,,,233604,,09h 09m 49.0s,+53° 34′ 05″,10.41,,,K5,has a planet (b),,,09,9, 09,9, 49.0,49,+53,53, 34,34, 05,5,9.16361111111111,53.5680555555556
